"Key","Title","Type","Parent","Tagline","Description","Slogan","Category","First Trend Title","First Trend Description","First Trend Reference","Second Trend Title","Second Trend Description","Second Trend Reference","Third Trend Title","Third Trend Description","Third Trend Reference","Trend Notes","First Benefit Title","First Benefit Description","First Benefit Reference","Second Benefit Title","Second Benefit Description","Second Benefit Reference","Third Benefit Title","Third Benefit Description","Third Benefit Reference","Benefit Notes","Notes","Benefits","1St Trend Name","1St Trend Description","1St Trend Reference","2Nd Trend Name","2Nd Trend Description","2Nd Trend Reference","3Rd Trend Name","3Rd Trend Description","3Rd Trend Reference","Trends","Status","Priority","Template","File"
"academia","Academia","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/sprouts/academia/_academia.md"
"aristotelian","Aristotelian Intelligence","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_aristotelian.md"
"arthur_md","ArthurMD","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_arthur_md.md"
"arthurian","Arthurian","Project","","this one","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Active","1","v37","../../../entities/seeds/_arthurian.md"
"bescale","Bescale","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_bescale.md"
"besmash","Besmash","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_besmash.md"
"besprout","Besprout","Project","Tribesie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_besprout.md"
"clade","Clade: The Trading Card Game","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_clade.md"
"clublucid","Club Lucid","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_clublucid.md"
"creatoreconbook","Creator Economy: How to Thrive in the New Era of Business, Finance and Entrepreneurship","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_creatoreconbook.md"
"creatoreconomy","Creator Economy","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_creatoreconomy.md"
"crowdfundforinf","The Ultimate Guide to Crowdfunding for Influencers","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_crowdfundforinf.md"
"doktorthud","Doktorthud","Persona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_doktorthud.md"
"evetechnology","EVE","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_evetechnology.md"
"fleek","Fleek Digital","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_fleek.md"
"folkchurchee","Estonian Folk Church","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_folkchurchee.md"
"helpiwonlotto","Help! I Won the Lottery","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_helpiwonlotto.md"
"hometribe","Hometribe","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_hometribe.md"
"hunted","Hunted: Goth Girls XXX","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_hunted.md"
"hunterules","Hunter University of Life and Environmental Sciences","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_hunterules.md"
"instadeath","INSTADEATH","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_instadeath.md"
"iqgame","IQ","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_iqgame.md"
"magistrix","Magistrix","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_magistrix.md"
"marsu","Mars University","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_marsu.md"
"metaquagmire","MetaQuagmire","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_metaquagmire.md"
"narrowpathvc","Narrow Path Ventures","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_narrowpathvc.md"
"onlyfangss3","Death to Onlyfangs","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_onlyfangss3.md"
"outwardvr","OutwardVR","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_outwardvr.md"
"partygamesxxx","Party Games","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_partygamesxxx.md"
"psykai","PsyKai Devices","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_psykai.md"
"ragnarokprtnrs","Ragnarok Partners","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_ragnarokprtnrs.md"
"scarletleague","Scarlet League","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_scarletleague.md"
"sluthouse","Sluthouse","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_sluthouse.md"
"strangerstranger","Stranger Stranger","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_strangerstranger.md"
"syzygytv","SyzygyTV","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_syzygytv.md"
"testsprout","testsprout","project","","","A dummy project used to test automated sprout pipelines.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","seed","","v37","../../../entities/sprouts/testsprout/_testsprout.md"
"theedcv","Theed Capital Ventures","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_theedcv.md"
"theedvr","TheedVR","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_theedvr.md"
"tribesie","Tribesie","Project","Hometribe","Pre-crowdfunding and community-driven project design platform.","Empowers influencers and fans to collaborate on the ideation, design, and pre-funding of creative ventures.","From Ideation to Impact: Design Your Next Adventure with Your Tribe.","Platform","Collaborative RFP","The movement toward structured audience-led project requests.","","Direct-to-Community Monetization","Influencers moving away from ads toward bespoke project funding.","","Partnership Placeholders","Using social networks to map collaborators before they join the platform.","","","Market Validation","Proposals are validated through RFPs and feedback before any financial investment is made.","","Engagement","Audience members feel a sense of ownership over the projects they help design through voting.","","Risk Reduction","Pledges can be reassigned, reducing the fear of 'unfulfilled' projects.","","","Primary launch categories include theatrical dining and immersive cruises. Includes RFP to Proposal lifecycle, public/private targeting, and placeholder profile partner suggestions.","","","","","","","","","","","","","","v37","../../../entities/seeds/_tribesie.md"
"tribesxxx","TribesXXX","Business","Hometribe","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_tribesxxx.md"
"trystal","Trystal","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_trystal.md"
"ultraextreme","Ultra-Extreme","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_ultraextreme.md"
"vildesignschool","Vilnius School of Design","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_vildesignschool.md"
"wanted","Wanted","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_wanted.md"
"witchhunt","Witch Hunt (18+)","Project","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_witchhunt.md"
"witchhunting","witchhunting.org","Business","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","v37","../../../entities/seeds/_witchhunting.md"
